saying,my_last_move,their_last_move,my_rock,my_paper,my_scissor,their_rock,their_paper,their_scissor,my_dino,their_dino,their_move
1,0,0,0,0,0,0,0,0,0,0,1
2,2,1,0,0,0,1,0,0,0,0,3
3,3,3,0,0,2,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,1
2,2,1,0,0,0,0,0,0,0,1,3
3,3,3,0,0,2,0,0,1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,1
2,2,1,0,0,0,1,0,0,0,0,3
3,3,3,0,0,2,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,3
5,2,3,0,0,0,0,0,1,0,1,3
2,1,3,0,0,0,0,0,2,0,1,1
2,2,1,0,0,0,0,0,1,0,1,3
1,0,0,0,0,0,0,0,0,0,0,1
2,2,1,0,0,0,1,0,0,0,0,2
1,0,0,0,0,2,0,0,0,0,1,1
2,2,1,0,0,0,0,0,0,0,1,2
5,1,2,0,0,0,0,1,0,0,1,2
0,0,0,0,0,0,0,0,0,0,0,1
2,2,1,0,0,0,1,0,0,0,0,3
3,3,3,0,0,2,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,1
2,2,1,0,0,0,0,0,0,0,1,3
0,3,3,0,0,2,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,3
5,2,3,0,0,0,0,0,0,0,0,3
2,1,3,0,0,0,0,0,0,0,0,1
5,3,1,0,0,2,1,0,0,0,0,1
2,2,1,0,0,0,2,0,0,0,0,2
1,0,0,0,0,2,0,0,0,0,1,1
2,2,1,0,0,0,0,0,0,0,1,3
3,3,3,0,0,2,0,0,1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,1
2,2,1,0,0,0,1,0,0,0,0,3
3,3,3,0,0,2,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,1
2,2,1,0,0,0,0,0,0,0,1,3
2,1,3,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,1
2,2,1,0,0,0,1,0,0,0,0,3
3,3,3,0,0,2,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,1
2,2,1,0,0,0,0,0,0,0,1,3
2,1,3,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,1
5,3,1,0,0,2,1,0,0,0,0,1
3,1,1,0,0,0,2,0,0,0,0,2
5,1,2,0,0,0,1,0,0,0,0,2
4,3,2,0,0,2,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,1
3,1,1,0,0,0,0,0,0,0,1,2
5,1,2,0,0,0,0,1,0,0,1,2
4,3,2,0,0,2,0,2,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1
3,1,1,0,0,0,1,0,0,0,0,2
4,3,2,0,0,2,0,0,0,0,0,1
5,3,1,0,0,4,1,0,0,0,0,1
0,0,0,0,0,2,0,0,0,0,1,2
0,2,2,0,0,0,0,1,0,0,1,3
3,3,3,0,0,2,0,0,1,0,1,1
0,2,1,0,0,0,0,0,0,0,1,2
1,0,0,0,0,0,0,0,0,0,0,1
2,2,1,0,0,0,1,0,0,0,0,2
1,0,0,0,0,2,0,0,0,0,1,1
2,2,1,0,0,0,0,0,0,0,1,2
5,1,2,0,0,0,0,1,0,0,1,2
1,0,0,0,0,0,0,0,0,0,0,1
2,2,1,0,0,0,1,0,0,0,0,2
0,0,0,0,0,2,0,0,0,0,1,1
2,2,1,0,0,0,0,0,0,0,1,3
3,3,3,0,0,2,0,0,1,0,1,1
